type,faa_weight_class,recat_weight_class,engine_type
CE15,S,F,P
CE22,S,F,P
CE23,S,F,P
CE25,S,F,P
CE27,S,F,P
CE43,S,F,P
CEGL,S,F,P
CELR,S,F,P
CENT,S,F,P
CFRE,S,F,P
CG3,S,F,P
CGAN,S,F,P
CH1,S,F,T
CH10,S,F,P
CH12,S,F,P
CH14,S,F,T
CH15,S,F,P
CH18,S,F,P
CH20,S,F,P
CH25,S,F,P
CH2T,S,F,P
CH30,S,F,P
CH40,S,F,P
CH50,S,F,P
CH60,S,F,P
CH62,S,F,P
CH64,S,F,P
CH65,S,F,P
CH7,S,F,P
CH70,S,F,P
CH75,S,F,P
CH7A,S,F,P
CH7B,S,F,P
CH80,S,F,P
CHAN,S,F,P
CHCS,S,F,P
CHGO,S,F,P
CHIC,S,F,P
CHIF,S,F,P
CHIN,S,F,P
CHIP,S,F,P
CHR1,S,F,P
CHR4,S,F,P
CHSY,S,F,P
CICA,S,F,P
CJ1,S,F,P
CJ6,S,F,P
CKUO,S,F,J
CL2P,L,D,P
CL2T,L,D,T
CL30,S,F,J
CL35,S,F,J
CL41,S,F,J
CL4G,L,D,T
CL60,L,E,J
CL8,S,F,P
CLA,S,F,P
CLB1,S,F,P
CLBR,S,F,P
CLD2,S,F,P
CLDS,S,F,P
CLON,S,F,P
CMA3,S,F,P
CMAS,S,F,P
CMD1,S,F,P
CMDE,S,F,P
CMDT,S,F,P
CN12,S,F,P
CN35,S,F,T
CNBR,L,E,J
CNDR,S,F,T
CNGP,S,F,P
CNUK,S,F,P
CO50,S,F,P
COAR,S,F,P
COBR,S,F,P
COL3,S,F,P
COL4,S,F,P
COMU,S,F,P
CONI,L,D,P
COOT,S,F,P
CORO,S,F,P
CORR,S,F,P
CORS,S,F,P
CORV,S,F,P
COUG,S,F,P
COUR,S,F,P
COY2,S,F,P
COZJ,S,F,J
COZY,S,F,P
CP10,S,F,P
CP13,S,F,P
CP20,S,F,P
CP21,S,F,P
CP22,S,F,P
CP23,S,F,P
CP30,S,F,P
CP32,S,F,P
CP60,S,F,P
CP65,S,F,P
CP75,S,F,P
CP80,S,F,P
CP90,S,F,P
CPNA,S,F,P
CPUP,S,F,P
CR10,S,F,P
CRA1,S,F,P
CRAC,S,F,P
CRER,S,F,P
CRES,S,F,T
CRIO,S,F,P
CRJ1,L,E,J
CRJ2,L,E,J
CRJ7,L,E,J
CRJ9,L,E,J
CRJX,L,E,J
CRUZ,S,F,P
CT4,S,F,P
CTAH,S,F,P
CTLN,S,F,P
CUB2,S,F,P
CUCA,S,F,P
CULP,S,F,P
CULV,S,F,P
CULX,S,F,P
CVLP,L,D,P
CVLT,L,D,T
CX5,S,F,P
CYCL,S,F,P
CYGT,S,F,P
D1,S,F,P
D11,S,F,P
D139,S,F,P
D140,S,F,P
D150,S,F,P
D18,S,F,P
D201,S,F,P
D228,S,F,T
D25,S,F,P
D250,S,F,P
D253,S,F,P
D28D,S,F,P
D28T,S,F,T
D31,S,F,P
D328,S,F,T
D39,S,F,P
D4,S,F,P
D5,S,F,P
D5TU,S,F,P
D6,S,F,P
D6CR,S,F,P
D7,S,F,P
D8,S,F,P
DA2,S,F,P
DA40,S,F,P
DA42,S,F,P
DA5,S,F,P
DA50,S,F,P
DA62,S,F,P
DAHU,S,F,P
DAKH,S,F,P
DAL1,S,F,P
DAL4,S,F,P
DAL5,S,F,P
DART,S,F,P
DC10,H,C,J
DC2,S,F,P
DC3,S,F,P
DC3S,S,F,P
DC3T,S,F,T
DC4,L,D,P
DC6,L,D,P
DC7,L,D,P
DC85,H,C,J
DC86,H,C,J
DC87,H,C,J
DC91,L,E,J
DC92,L,D,J
DC93,L,D,J
DC94,L,D,J
DC95,L,D,J
DEAG,S,F,P
DEFI,S,F,P
DELF,S,F,P
DFL6,S,F,P
DFLY,S,F,P
DG15,S,F,P
DG1T,S,F,P
DG40,S,F,P
DG50,S,F,P
DG60,S,F,P
DG80,S,F,P
DH2T,S,F,T
DH3T,S,F,T
DH60,S,F,P
DH80,S,F,P
DH82,S,F,P
DH83,S,F,P
DH85,S,F,P
DH87,S,F,P
DH88,S,F,P
DH89,S,F,P
DH8A,L,E,T
DH8B,L,E,T
DH8C,L,E,T
DH8D,L,D,T
DH90,S,F,P
DH94,S,F,P
DHA3,S,F,P
DHC1,S,F,P
DHC2,S,F,P
DHC3,S,F,P
DHC4,S,F,P
DHC5,L,D,T
DHC6,S,F,T
DHC7,L,D,T
DIES,S,F,P
DIJ3,S,F,P
DIJ4,S,F,P
DIMO,S,F,P
DINO,S,F,P
DIPR,S,F,P
DISC,S,F,P
DJET,S,F,J
DJIN,S,F,T
DLTA,S,F,P
DNGO,S,F,T
DO27,S,F,P
DO28,S,F,P
DOCX,S,F,P
DON,S,F,P
DOVE,S,F,P
DR1,S,F,P
DR10,S,F,P
DR22,S,F,P
DR30,S,F,P
DR40,S,F,P
DRAG,S,F,P
DRIF,S,F,P
DRTG,S,F,P
DSA1,S,F,P
DSK,S,F,P
DSLK,S,F,P
DT45,S,F,T
DUB2,S,F,P
DUCE,S,F,P
DUOD,S,F,P
DUR5,S,F,P
DV1,S,F,P
DV2,S,F,P
DV20,S,F,P
DW1,S,F,P
DWD2,S,F,P
DYH2,S,F,P
E110,S,F,T
E120,S,F,T
E121,S,F,T
E135,L,E,J
E145,L,E,J
E170,L,E,J
E190,L,D,J
E195,L,D,J
E2,L,E,T
E200,S,F,P
E230,S,F,P
E290,L,D,J
E2CB,S,F,P
E300,S,F,P
E314,S,F,T
E350,S,F,T
E35L,L,E,J
E3CF,H,C,J
E3TF,H,C,J
E400,S,F,P
E45X,L,E,J
E500,S,F,T
E50P,S,F,J
E530,S,F,J
E545,S,F,J
E550,S,F,J
E55P,S,F,J
E6,H,C,J
E737,L,D,J
E75L,L,E,J
E75S,L,E,J
E767,H,C,J
E7BH,S,F,P
EA40,S,F,J
EA50,S,F,J
EAEA,S,F,P
EAGL,S,F,P
EAGT,S,F,P
EAGX,S,F,P
EB29,S,F,P
EBOY,S,F,P
EC20,S,F,T
EC25,S,F,T
EC30,S,F,T
EC35,S,F,T
EC45,S,F,T
EC55,S,F,T
EC6,S,F,P
EC75,S,F,T
ECHO,S,F,P
EDGE,S,F,P
EDGT,S,F,P
EFOX,S,F,P
EGL3,S,F,T
EGRT,S,F,T
EH10,S,F,T
EL20,S,F,P
ELA7,S,F,P
ELF,S,F,P
ELIT,S,F,J
ELPS,S,F,P
ELST,S,F,P
ELTO,S,F,P
ELTR,S,F,P
EM10,S,F,J
EM11,S,F,P
EN28,S,F,P
EN48,S,F,T
EP9,S,F,P
EPER,S,F,P
EPIC,S,F,T
EPX1,S,F,P
ERAC,S,F,P
ERCO,S,F,P
ES11,S,F,T
ES13,S,F,P
ESCA,S,F,T
ESCP,S,F,P
ESQL,S,F,P
ETA,S,F,P
ETAR,S,F,J
EUFI,L,E,J
EUPA,S,F,P
EURT,S,F,P
EV55,S,F,P
EV97,S,F,P
EVAN,S,F,P
EVIC,S,F,J
EVOP,S,F,P
EVOT,S,F,T
EVSS,S,F,P
EX5T,S,F,T
EXEC,S,F,P
EXEJ,S,F,T
EXPL,S,F,T
EXPR,S,F,P
EZFL,S,F,P
EZFT,S,F,P
EZHV,S,F,P
EZIK,S,F,P
EZKC,S,F,P
F1,S,F,J
F100,L,D,J
F104,S,F,J
F106,S,F,J
F111,L,E,J
F117,L,E,J
F14,L,E,J
F15,L,E,J
F156,S,F,P
F16,L,E,J
F16X,L,E,J
F18H,L,E,J
F18S,L,E,J
F1FV,S,F,P
F2,L,E,J
F22,L,E,J
F260,S,F,P
F26T,S,F,T
F27,L,D,T
F28,L,E,J
F2TH,S,F,J
F30,S,F,P
F35,L,E,J
F3F,S,F,P
F4,L,E,J
F406,S,F,T
F41E,S,F,P
F5,S,F,J
F50,L,D,T
F5SA,S,F,J
F60,L,D,T
F600,S,F,T
F70,L,D,J
F8,S,F,J
F86,L,E,J
F8L,S,F,P
F900,L,E,J
F9F,S,F,J
FA01,S,F,P
FA02,S,F,P
FA03,S,F,P
FA04,S,F,P
FA10,S,F,J
FA11,S,F,P
FA20,S,F,J
FA24,S,F,P
FA50,S,F,J
FA5X,L,E,J
FA62,S,F,P
FA7X,L,E,J
FA8X,L,E,J
FAET,S,F,P
FALC,S,F,P
FALM,S,F,P
FANL,S,F,P
FANT,S,F,P
FB1A,S,F,P
FB1B,S,F,P
FB5,S,F,P
FBA2,S,F,P
FBIR,S,F,P
FC1,S,F,J
FDCT,S,F,P
FDMC,S,F,P
FE51,S,F,P
FEST,S,F,P
FFLY,S,F,P
FG01,S,F,P
FGT,S,F,P
FH11,S,F,T
FIBO,S,F,P
FIKD,S,F,P
FIKE,S,F,P
FINC,S,F,P
FJ10,S,F,J
FJR3,S,F,P
FK12,S,F,P
FK14,S,F,P
FK9,S,F,P
FL3,S,F,P
FL53,S,F,P
FL54,S,F,P
FL55,S,F,P
FLAM,S,F,P
FLE2,S,F,P
FLE7,S,F,P
FLIZ,S,F,P
FLSH,S,F,P
FLSS,S,F,P
FM25,S,F,P
FN33,S,F,P
FNKB,S,F,P
FOOF,S,F,P
FORT,S,F,P
FOUG,S,F,J
FOX,S,F,P
FOXT,S,F,P
FREE,S,F,P
FREL,S,F,T
FRNT,S,F,P
FRON,S,F,P
FS51,S,F,P
FT30,S,F,P
FU24,S,F,P
FURY,S,F,P
FW19,S,F,P
FW21,S,F,P
FW44,S,F,P
FW90,S,F,P
FX1,S,F,P
G1,S,F,P
G103,S,F,P
G109,S,F,P
G115,S,F,P
G120,S,F,P
G12T,S,F,T
G140,S,F,T
G150,S,F,J
G159,S,F,T
G15T,S,F,P
G160,S,F,T
G164,S,F,P
G180,S,F,P
G200,S,F,P
G202,S,F,P
G21,S,F,P
G21M,S,F,P
G21T,S,F,T
G222,L,D,T
G250,S,F,J
G280,S,F,J
G2CA,S,F,P
G2GL,S,F,J
G2T1,S,F,P
G3,S,F,P
G300,S,F,P
G44,S,F,P
G46,S,F,P
G4SG,S,F,J
G59,S,F,P
G64T,S,F,T
G70,S,F,P
G73,S,F,P
G73T,S,F,T
G800,S,F,P
G850,S,F,P
G96,S,F,P
G97,S,F,P
GA10,S,F,T
GA20,S,F,P
GA5C,L,D,J
GA6C,L,D,J
GA7,S,F,P
GA8,S,F,P
GABR,S,F,P
GALX,S,F,J
GANT,S,F,T
GAUN,S,F,P
GAVI,S,F,P
GAZL,S,F,T
GBSP,S,F,P
GC1,S,F,P
GDUK,S,F,P
GEMI,S,F,P
GEPE,S,F,P
GF20,S,F,P
GFLY,S,F,J
GL5T,L,D,J
GL7T,L,D,J
GLAD,S,F,P
GLAS,S,F,P
GLEX,L,D,J
GLF2,L,E,J
GLF3,L,E,J
GLF4,L,E,J
GLF5,L,D,J
GLF6,L,D,J
GLSP,S,F,P
GLST,S,F,P
GLTU,S,F,T
GM01,S,F,P
GM17,S,F,T
GMGC,S,F,P
GNAT,S,F,J
GOBU,S,F,P
GOLF,S,F,P
GOOS,S,F,P
GOTR,S,F,P
GP1,S,F,P
GP3,S,F,P
GP4,S,F,P
GR51,S,F,T
GRAF,S,F,P
GRFN,S,F,P
GRIF,S,F,P
GRIZ,S,F,T
GSIS,S,F,P
GSPN,S,F,J
GUEP,S,F,P
GURI,S,F,P
GX,S,F,P
GY10,S,F,P
GY20,S,F,P
GY30,S,F,P
GY80,S,F,P
H111,S,F,P
H12T,S,F,T
H160,S,F,T
H2,S,F,T
H202,S,F,P
H204,S,F,P
H207,S,F,P
H21,S,F,P
H25A,S,F,J
H25B,S,F,J
H25C,S,F,J
H269,S,F,P
H40,S,F,P
H43A,S,F,P
H43B,S,F,T
H46,S,F,T
H47,L,E,T
H500,S,F,T
H53,L,E,T
H53S,L,E,T
H60,S,F,T
H64,S,F,T
HA2,S,F,P
HA31,S,F,P
HA4T,S,F,J
HAHU,S,F,P
HAR,L,E,J
HAW3,S,F,P
HAWK,S,F,J
HB21,S,F,P
HB23,S,F,P
HB3,S,F,P
HCAT,S,F,P
HD34,S,F,P
HDJT,S,F,J
HEAD,S,F,P
HERN,S,F,P
HF20,S,F,J
HI27,S,F,P
HIGH,S,F,P
HIND,S,F,P
HL2,S,F,P
HLD4,S,F,P
HM38,S,F,P
HN70,S,F,P
HORN,S,F,P
HORZ,S,F,P
HPTR,S,F,P
HPZL,S,F,P
HR10,S,F,P
HR20,S,F,P
HRNT,S,F,P
HROC,S,F,P
HRYA,S,F,P
HSMT,S,F,P
HT16,S,F,J
HT2,S,F,P
HT32,S,F,P
HT34,S,F,T
HT36,S,F,J
HU1,S,F,P
HU2,S,F,P
HUCO,S,F,T
HUML,S,F,P
HUMM,S,F,P
HUNT,S,F,J
HURI,S,F,P
HURK,S,F,T
HUSK,S,F,P
HW4P,S,F,P
HW4T,S,F,T
HX2,S,F,T
HYPR,S,F,P
I103,S,F,P
I114,L,D,T
I115,S,F,P
I11B,S,F,P
I153,S,F,P
I15B,S,F,P
I16,S,F,P
I22,S,F,J
I23,S,F,P
I3,S,F,P
I66,S,F,P
I828,S,F,T
IA46,S,F,P
IA50,S,F,T
IA51,S,F,P
IA58,S,F,T
IA63,S,F,J
IFUR,S,F,P
IL14,S,F,P
IL18,L,D,T
IL28,L,E,J
IL38,L,D,T
IL62,H,C,J
IL76,H,C,J
IL86,H,C,J
IL96,H,B,J
IMPU,S,F,P
INCQ,S,F,P
INEC,S,F,P
INEX,S,F,P
ION,S,F,P
IP06,S,F,P
IP10,S,F,P
IP26,S,F,P
IP6A,S,F,P
IPAN,S,F,P
IR21,S,F,P
IR22,S,F,P
IR23,S,F,P
IR24,S,F,P
IR25,S,F,T
IR27,S,F,P
IR28,S,F,P
IR31,S,F,P
IR46,S,F,P
IR99,S,F,J
IS2,S,F,P
IS28,S,F,P
ISAT,S,F,P
ISPT,S,F,P
J1,S,F,P
J10,S,F,J
J177,S,F,P
J2,S,F,P
J20,L,F,J
J3,S,F,P
J300,S,F,P
J328,S,F,J
J4,S,F,P
J4B2,S,F,P
J5,S,F,P
J728,L,E,J
J8A,S,F,J
J8B,S,F,J
JAB2,S,F,P
JAB4,S,F,P
JABI,S,F,P
JACE,S,F,P
JAG2,S,F,T
JAGR,S,F,J
JAJ5,S,F,P
JAJ6,S,F,P
JANU,S,F,P
JARO,S,F,P
JAST,S,F,J
JB1,S,F,P
JB15,S,F,P
JC01,S,F,P
JC02,S,F,P
JCOM,S,F,J
JCRU,S,F,T
JD2,S,F,P
JDOE,S,F,P
JE2,S,F,P
JFOX,S,F,P
JH7,L,E,J
JK05,S,F,P
JL9,S,F,J
JN76,S,F,P
JPM1,S,F,P
JPRO,S,F,J
JRC1,S,F,P
JS1,S,F,T
JS20,S,F,T
JS3,S,F,T
JS31,S,F,T
JS32,S,F,T
JS41,S,F,T
JSQA,S,F,J
JSX,S,F,J
JT2,S,F,P
JU52,S,F,P
JUN1,S,F,P
JUN2,S,F,P
JUNR,S,F,P
JUPI,S,F,P
K126,S,F,T
K209,S,F,T
K226,S,F,T
K250,S,F,P
K35E,H,C,J
K35R,H,C,J
K50,S,F,J
K51,S,F,P
K8,S,F,J
KA25,S,F,T
KA26,S,F,P
KA27,S,F,T
KA50,S,F,T
KA52,S,F,T
KA62,S,F,T
KAFI,S,F,P
KAK1,S,F,P
KAK3,S,F,P
KAT3,S,F,T
KATB,S,F,P
KATR,S,F,P
KC2,L,D,J
KC39,L,D,J
KE3,H,C,J
KEHA,S,F,P
KELA,S,F,P
KELD,S,F,P
KERO,S,F,P
KEST,S,F,T
KFAB,S,F,P
KFAS,S,F,P
KFIR,S,F,J
KFIS,S,F,P
KH4,S,F,P
KIS2,S,F,P
KIS4,S,F,P
KITI,S,F,P
KIWI,S,F,P
KK60,S,F,P
KL07,S,F,P
KL10,S,F,P
KL25,S,F,P
KL35,S,F,P
KLBR,S,F,P
KM2,S,F,P
KMAX,S,F,T
KNTW,S,F,P
KODI,S,F,T
KOLL,S,F,P
KP2,S,F,P
KP5,S,F,P
KR1,S,F,P
KR2,S,F,P
KR21,S,F,P
KR30,S,F,P
KR31,S,F,P
KR34,S,F,P
KRAG,S,F,P
KRAH,S,F,P
KRIC,S,F,P
KSTK,S,F,P
KT1,S,F,T
KTOO,S,F,P
KZ2,S,F,P
KZ3,S,F,P
KZ4,S,F,P
KZ7,S,F,P
KZ8,S,F,P
L10,S,F,P
L101,H,C,J
L11,S,F,P
L11E,S,F,P
L12,S,F,P
L13,S,F,P
L13M,S,F,P
L13S,S,F,P
L14,S,F,P
L15,S,F,J
L159,S,F,J
L18,L,E,P
L181,S,F,P
L188,L,D,T
L200,S,F,P
L29,S,F,J
