type,faa_weight_class,recat_weight_class,engine_type
A002,S,F,P
A1,S,F,P
A10,L,E,J
A109,S,F,T
A119,S,F,T
A122,S,F,P
A124,H,B,J
A129,S,F,T
A139,S,F,T
A140,L,E,T
A148,L,D,J
A149,S,F,T
A158,L,D,J
A16,S,F,P
A169,S,F,T
A189,S,F,T
A19,S,F,P
A19N,L,D,J
A20,S,F,P
A205,S,F,P
A20J,S,F,J
A20N,L,D,J
A21,S,F,P
A210,S,F,P
A211,S,F,P
A21N,L,D,J
A22,S,F,P
A223,S,F,P
A225,J,A,J
A23,S,F,P
A25,S,F,P
A251,S,F,P
A27,S,F,P
A270,S,F,T
A29,S,F,P
A2RT,S,F,T
A3,L,E,J
A306,H,C,J
A30B,H,C,J
A31,S,F,P
A310,H,C,J
A318,L,D,J
A319,L,D,J
A320,L,D,J
A321,L,D,J
A33,S,F,P
A332,H,B,J
A333,H,B,J
A337,H,B,J
A338,H,B,J
A339,H,B,J
A342,H,B,J
A343,H,B,J
A345,H,B,J
A346,H,B,J
A35,S,F,P
A359,H,B,J
A35K,H,B,J
A37,S,F,J
A388,J,A,J
A3ST,H,C,J
A4,S,F,J
A400,H,C,T
A5,S,F,P
A50,H,C,J
A500,S,F,P
A504,S,F,P
A6,L,E,J
A600,S,F,P
A660,S,F,T
A7,L,E,J
A700,S,F,J
A743,L,D,J
A748,L,D,T
A890,S,F,P
A9,S,F,P
A900,S,F,P
A910,S,F,P
AA1,S,F,P
AA37,S,F,P
AA5,S,F,P
AAT3,S,F,P
AAT4,S,F,P
AAT5,S,F,P
AB11,S,F,P
AB15,S,F,P
AB18,S,F,P
AB95,S,F,P
AC10,S,F,P
AC11,S,F,P
AC31,S,F,T
AC33,S,F,T
AC4,S,F,P
AC50,S,F,P
AC52,S,F,P
AC56,S,F,P
AC5A,S,F,P
AC5M,S,F,P
AC68,S,F,P
AC6L,S,F,P
AC72,S,F,P
AC80,S,F,T
AC90,S,F,T
AC95,S,F,T
ACAM,S,F,P
ACAR,S,F,P
ACED,S,F,P
ACJR,S,F,P
ACPL,S,F,P
ACR2,S,F,P
ACRD,S,F,P
ACRO,S,F,P
ACSR,S,F,P
AD20,S,F,P
ADEL,S,F,P
ADVE,S,F,P
ADVN,S,F,P
AE45,S,F,P
AEA1,S,F,P
AERK,S,F,P
AEST,S,F,P
AFOX,S,F,P
AG02,S,F,P
AGSH,S,F,P
AI10,S,F,P
AIGT,S,F,P
AIRD,S,F,P
AIRL,S,F,P
AJ27,L,E,J
AJET,S,F,J
AK1,S,F,P
AKOY,S,F,P
AKRO,S,F,P
ALBU,S,F,P
ALC1,S,F,P
ALGR,S,F,P
ALH,S,F,T
ALIG,S,F,P
ALIZ,S,F,T
ALO2,S,F,T
ALO3,S,F,T
ALPI,S,F,P
ALSL,S,F,P
ALTO,S,F,P
AM3,S,F,P
AMX,S,F,J
AN12,L,D,T
AN2,S,F,P
AN22,H,B,T
AN24,L,D,T
AN26,L,D,T
AN28,S,F,T
AN3,S,F,T
AN30,L,D,T
AN32,L,D,T
AN38,S,F,T
AN70,H,D,T
AN72,L,D,J
AN8,L,D,T
ANGL,S,F,P
ANSN,S,F,P
ANST,S,F,T
AP20,S,F,P
AP22,S,F,P
AP24,S,F,P
AP26,S,F,P
AP28,S,F,P
AP32,S,F,P
AP36,S,F,P
APM2,S,F,P
APM3,S,F,P
APM4,S,F,P
APUP,S,F,P
AR11,S,F,P
AR15,S,F,P
AR50,S,F,P
AR5T,S,F,P
AR65,S,F,P
AR6T,S,F,P
AR79,S,F,P
ARCP,S,F,P
ARES,S,F,J
ARKS,S,F,P
ARON,S,F,P
ARV1,S,F,P
ARVA,S,F,T
ARWF,S,F,P
AS02,S,F,P
AS14,S,F,P
AS16,S,F,P
AS20,S,F,P
AS21,S,F,P
AS22,S,F,P
AS24,S,F,P
AS25,S,F,P
AS26,S,F,P
AS28,S,F,P
AS29,S,F,P
AS2T,S,F,T
AS30,S,F,P
AS31,S,F,P
AS32,S,F,T
AS3B,S,F,T
AS50,S,F,T
AS55,S,F,T
AS65,S,F,T
AS80,S,F,P
ASO4,S,F,P
ASTO,S,F,P
ASTR,S,F,J
AT2P,S,F,P
AT3,S,F,J
AT3P,S,F,P
AT3T,S,F,T
AT43,L,E,T
AT44,L,E,T
AT45,L,E,T
AT46,L,E,T
AT5P,S,F,P
AT5T,S,F,T
AT6T,S,F,T
AT72,L,E,T
AT73,L,E,T
AT75,L,E,T
AT76,L,E,T
AT8T,S,F,T
ATAC,S,F,P
ATG1,S,F,J
ATIS,S,F,P
ATL,S,F,P
ATLA,L,D,T
ATP,L,D,T
ATTL,S,F,P
AU11,S,F,P
AUJ2,S,F,P
AUJ4,S,F,P
AUS3,S,F,P
AUS4,S,F,P
AUS5,S,F,P
AUS6,S,F,P
AUS7,S,F,P
AUS9,S,F,P
AV68,S,F,P
AVAM,S,F,P
AVID,S,F,P
AVIN,S,F,P
AVK4,S,F,T
AVLN,S,F,T
AVTR,S,F,P
B06,S,F,T
B06T,S,F,T
B1,H,C,J
B103,S,F,P
B105,S,F,T
B13,S,F,P
B14A,S,F,P
B14B,S,F,P
B14C,S,F,P
B150,S,F,T
B17,L,D,P
B18T,S,F,T
B190,S,F,T
B2,H,C,J
B209,S,F,P
B212,S,F,T
B214,S,F,T
B222,S,F,T
B23,L,D,P
B230,S,F,T
B24,L,D,P
B25,L,E,P
B26,L,E,P
B26M,S,F,P
B29,L,D,P
B305,S,F,P
B350,S,F,T
B360,S,F,P
B36T,S,F,T
B37M,L,D,J
B38M,L,D,J
B39M,L,D,J
B407,S,F,T
B412,S,F,T
B427,S,F,T
B429,S,F,T
B430,S,F,T
B461,L,E,J
B462,L,E,J
B463,L,E,J
B47G,S,F,P
B47J,S,F,P
B47T,S,F,T
B505,S,F,T
B52,H,B,J
B525,S,F,T
B58T,S,F,P
B60,S,F,P
B609,S,F,T
B60T,S,F,T
B701,L,D,J
B703,H,C,J
B712,L,D,J
B720,L,D,J
B721,L,D,J
B722,L,D,J
B732,L,D,J
B733,L,D,J
B734,L,D,J
B735,L,D,J
B736,L,D,J
B737,L,D,J
B738,L,D,J
B739,L,D,J
B741,H,B,J
B742,H,B,J
B743,H,B,J
B744,H,B,J
B748,H,B,J
B74R,H,B,J
B74S,H,B,J
B752,5,D,J
B753,5,D,J
B762,H,C,J
B763,H,C,J
B764,H,C,J
B772,H,B,J
B773,H,B,J
B77L,H,B,J
B77W,H,B,J
B788,H,B,J
B789,H,B,J
B78X,H,B,J
BA11,L,D,J
BABY,S,F,P
BAR6,S,F,P
BARC,S,F,P
BASS,S,F,P
BBAT,S,F,P
BBIR,S,F,P
BCA3,S,F,P
BCAT,S,F,P
BCS1,L,D,J
BCS3,L,D,J
BD10,S,F,J
BD12,S,F,P
BD17,S,F,P
BD4,S,F,P
BD5,S,F,P
BD5J,S,F,J
BD5T,S,F,T
BDOG,S,F,P
BE10,S,F,T
BE12,L,D,T
BE17,S,F,P
BE18,S,F,P
BE19,S,F,P
BE20,S,F,T
BE23,S,F,P
BE24,S,F,P
BE30,S,F,T
BE32,S,F,T
BE33,S,F,P
BE35,S,F,P
BE36,S,F,P
BE40,S,F,J
BE50,S,F,P
BE55,S,F,P
BE56,S,F,P
BE58,S,F,P
BE60,S,F,P
BE65,S,F,P
BE70,S,F,P
BE76,S,F,P
BE77,S,F,P
BE80,S,F,P
BE88,S,F,P
BE95,S,F,P
BE99,S,F,T
BE9L,S,F,T
BE9T,S,F,T
BEAR,S,F,P
BELF,L,D,T
BER2,L,D,J
BER4,L,D,J
BETA,S,F,P
BEVR,S,F,P
BF19,S,F,P
BFIT,S,F,P
BILO,S,F,P
BIPL,S,F,P
BIRD,S,F,P
BISC,S,F,P
BK17,S,F,T
BKUT,S,F,P
BL11,S,F,P
BL17,S,F,P
BL19,S,F,P
BL8,S,F,P
BLBU,S,F,P
BLCF,H,B,J
BLEN,S,F,P
BLKS,S,F,P
BM6,S,F,P
BMAN,S,F,P
BN2P,S,F,P
BN2T,S,F,T
BOLT,S,F,P
BOOM,S,F,P
BPAT,S,F,P
BR14,S,F,P
BR54,S,F,P
BR60,S,F,P
BR61,S,F,P
BRAV,S,F,P
BRB2,S,F,P
BREZ,S,F,P
BROU,S,F,P
BS60,S,F,T
BSTP,S,F,T
BSTR,S,F,P
BT36,S,F,P
BTUB,S,F,P
BTX1,S,F,J
BU20,S,F,P
BU31,S,F,P
BU33,S,F,P
BU81,S,F,P
BUC,L,E,J
BUCA,S,F,P
BULT,S,F,P
BUSH,S,F,P
BX2,S,F,P
C02T,S,F,T
C04T,S,F,T
C06T,S,F,T
C07T,S,F,T
C08T,S,F,T
C1,L,D,J
C101,S,F,J
C10T,S,F,T
C119,L,D,P
C120,S,F,P
C123,L,D,P
C125,L,E,P
C130,L,D,T
C135,H,C,J
C140,S,F,P
C141,H,C,J
C14T,S,F,T
C15,L,D,J
C150,S,F,P
C152,S,F,P
C160,L,D,T
C162,S,F,P
C17,H,C,J
C170,S,F,P
C172,S,F,P
C175,S,F,P
C177,S,F,P
C180,S,F,P
C182,S,F,P
C185,S,F,P
C188,S,F,P
C190,S,F,P
C195,S,F,P
C2,L,E,T
C205,S,F,P
C206,S,F,P
C207,S,F,P
C208,S,F,T
C210,S,F,P
C212,S,F,T
C21T,S,F,T
C22J,S,F,J
C240,S,F,P
C25A,S,F,J
C25B,S,F,J
C25C,S,F,J
C25M,S,F,J
C270,S,F,P
C27J,L,D,T
C295,L,E,T
C303,S,F,P
C309,S,F,P
C30J,L,D,T
C310,S,F,P
C311,S,F,P
C320,S,F,P
C335,S,F,P
C336,S,F,P
C337,S,F,P
C340,S,F,P
C365,S,F,T
C402,S,F,P
C404,S,F,P
C408,S,F,T
C411,S,F,P
C414,S,F,P
C42,S,F,P
C421,S,F,P
C425,S,F,T
C441,S,F,T
C46,L,D,P
C5,H,B,J
C500,S,F,J
C501,S,F,J
C510,S,F,J
C525,S,F,J
C526,S,F,J
C550,S,F,J
C551,S,F,J
C55B,S,F,J
C560,S,F,J
C56X,S,F,J
C5M,H,B,J
C650,S,F,J
C680,S,F,J
C68A,S,F,J
C700,S,F,J
C72R,S,F,P
C750,S,F,J
C77R,S,F,P
C82,L,D,P
C82R,S,F,P
C82S,S,F,P
C82T,S,F,P
C919,L,D,J
C97,L,D,P
CA12,S,F,T
CA19,S,F,P
CA1P,S,F,P
CA1T,S,F,T
CA25,S,F,P
CA3,S,F,P
CA4,S,F,P
CA41,S,F,P
CA6,S,F,P
CA61,S,F,P
CA65,S,F,P
CA7P,S,F,P
CA7T,S,F,T
CA8,S,F,T
CA9,S,F,T
CABI,S,F,T
CABN,S,F,P
CAD2,S,F,P
CAD4,S,F,P
CAJ,S,F,J
CAML,S,F,P
CAMP,S,F,P
CAN4,S,F,P
CAPL,S,F,P
CAR,S,F,P
CARV,L,D,P
CASS,S,F,P
CAT,S,F,P
CAT1,S,F,P
CAT2,S,F,P
CAW,S,F,P
CB1,S,F,P
CC19,S,F,P
CD2,S,F,T
CDC6,S,F,P
CDUS,S,F,P
CDW1,S,F,P
